Facility_ID,Facility_Name,Country,City,Industry,Fiscal_Year,Employee_Count,Scope1_Emissions,Scope2_Emissions,Scope3_Emissions,Total_Energy_MWh,Renewable_Energy_Percentage,Water_Withdrawal_m3,Water_Recycled_Percentage,Waste_Generated_Tons,Waste_Recycled_Percentage,Female_Workforce_Percentage,Employee_Turnover_Percentage,Training_Hours,Compliance_Violations
FAC005,Pune Automotive Plant 5,India,Pune,Automotive,2025,974,3170.7,354.1,9532.4,8222.7,79.6,11074.8,43.7,958.8,84.4,33.2,8.5,74.9,0
FAC006,Bengaluru Industrial Plant 6,India,Bengaluru,Industrial Equipment,2022,1278,2905.9,1030,15165.3,8088.1,45.2,23161.5,40.2,244.5,30,44.5,20.5,34.6,2
FAC006,Bengaluru Industrial Plant 6,India,Bengaluru,Industrial Equipment,2023,1373,3113.7,2271.4,23332.1,14794.7,39.3,36315.1,23.9,821.9,72.3,38,11.2,43.2,3
FAC006,Bengaluru Industrial Plant 6,India,Bengaluru,Industrial Equipment,2024,1404,4501.7,1051.9,22212.8,17368.6,71.5,15030.7,44.1,547.4,87.7,41.5,11.6,56.1,1
FAC006,Bengaluru Industrial Plant 6,India,Bengaluru,Industrial Equipment,2025,1382,2654.7,1052.7,15372.7,11693.3,74.6,16037,62.7,993,55.9,41.9,8.1,35.1,0
FAC007,Ahmedabad Chemicals Plant 7,India,Ahmedabad,Chemicals,2022,1289,6564.5,3598.6,45255,18215.9,24,22966.2,66.8,406,90,23.4,21.4,21.9,0
FAC007,Ahmedabad Chemicals Plant 7,India,Ahmedabad,Chemicals,2023,1362,3831.1,2083.2,13538.5,12394.3,55.4,34063.9,31.1,315.9,57,33.6,18.4,48.9,3
FAC007,Ahmedabad Chemicals Plant 7,India,Ahmedabad,Chemicals,2024,1358,4598.4,2123.3,18718.5,12561.8,31.3,32579.4,57.7,721.6,52.6,30.3,11.4,39.3,0
FAC007,Ahmedabad Chemicals Plant 7,India,Ahmedabad,Chemicals,2025,1413,6390.8,1610.3,27385.9,16512.2,54.6,21534.5,63.3,756.7,50.9,41.6,14.2,48.5,0
FAC008,Chennai Electronics Plant 8,India,Chennai,Electronics,2022,2293,11208,4249.7,41882.1,29188.2,53.3,46649.5,50.2,663.3,88.8,25,11,46.3,0
FAC008,Chennai Electronics Plant 8,India,Chennai,Electronics,2023,2283,7799.4,2156.1,30225.9,18910.6,41.4,44905.1,31.3,2271,60.7,25.3,16,18.2,2
FAC008,Chennai Electronics Plant 8,India,Chennai,Electronics,2024,2336,11808.6,5798.9,55663.9,29445.8,38.3,42600.8,66.4,752.2,42.6,31.9,13.5,51.2,0
FAC008,Chennai Electronics Plant 8,India,Chennai,Electronics,2025,2425,8908.9,2722.4,39193.8,27311.5,71.2,60539.4,59.7,1783.3,53.5,25.4,14.7,68.5,0
FAC009,Chennai Electronics Plant 9,India,Chennai,Electronics,2022,1320,2450.1,1688.7,13866.6,9144.5,24.3,13120.5,30,1309.3,72.3,19.9,12.5,34.4,0
FAC009,Chennai Electronics Plant 9,India,Chennai,Electronics,2023,1316,6738,3961.9,21922.3,17169.1,37.5,32422.3,49.6,971.3,88.4,27,11.7,58.1,2
FAC009,Chennai Electronics Plant 9,India,Chennai,Electronics,2024,1384,5998.6,1774.2,19809.4,17099.1,53.7,21908.1,27.3,793.4,73.7,30.1,7.6,47,0
FAC009,Chennai Electronics Plant 9,India,Chennai,Electronics,2025,1421,5254.4,925.2,13656.1,15100.1,80.4,22290.6,64.7,557.9,53.5,27.8,11.8,49.2,2
FAC010,Ahmedabad Chemicals Plant 10,India,Ahmedabad,Chemicals,2022,1898,9601.3,3200.9,56071.1,24793.2,32.2,22092,21.6,2467.4,27.7,18.9,10,47.8,1
FAC010,Ahmedabad Chemicals Plant 10,India,Ahmedabad,Chemicals,2023,1934,4829,1580,24025.2,14161.5,50.1,43291.8,30.1,1722.2,76.4,21.4,18.6,61.4,0
FAC010,Ahmedabad Chemicals Plant 10,India,Ahmedabad,Chemicals,2024,1945,11481.2,3079.2,63391.3,26887.7,55.1,21641.9,52.1,2240.2,48.8,38.9,9.8,56.8,1
FAC010,Ahmedabad Chemicals Plant 10,India,Ahmedabad,Chemicals,2025,2052,7964.8,3097.6,36117.7,25935.9,53,28638.5,64,2343.6,45.5,46.8,14.7,71.3,1
FAC011,Bengaluru Industrial Plant 11,India,Bengaluru,Industrial Equipment,2022,927,5262.7,2876.5,26116.6,13089.6,23.6,14669.2,56,458,82.1,42.9,7.4,49.7,0
FAC011,Bengaluru Industrial Plant 11,India,Bengaluru,Industrial Equipment,2023,938,2908.9,1424.8,12188.7,10239,50.1,15808.6,39,452.4,47.3,35.9,19.6,43,1
FAC011,Bengaluru Industrial Plant 11,India,Bengaluru,Industrial Equipment,2024,921,2074.9,816,10773,6441,61.8,18409.8,47.6,1020.2,40.3,24.6,16.1,39.8,0
FAC011,Bengaluru Industrial Plant 11,India,Bengaluru,Industrial Equipment,2025,975,4722.3,1439.5,17743.1,10513.6,52.8,15779.6,42.3,438.5,77.5,27.5,16.4,76.8,0
FAC012,Chennai Electronics Plant 12,India,Chennai,Electronics,2022,1087,3620.7,1739.5,23859.7,9282.6,37.4,25746.7,33.4,654.6,45.3,39.2,8,12,0
FAC012,Chennai Electronics Plant 12,India,Chennai,Electronics,2023,1084,5402.8,2677.1,33788.5,12952.8,25.7,20126.1,44.5,753.8,41.4,19.5,20.6,39.5,2
FAC012,Chennai Electronics Plant 12,India,Chennai,Electronics,2024,1119,4276.1,1086.8,21601,11506.8,55.1,29085.8,29.7,526.4,66.8,30.5,14.5,53.8,1
FAC012,Chennai Electronics Plant 12,India,Chennai,Electronics,2025,1137,4695,1808.8,17972.9,11312.2,57.7,22167.3,54.4,1189.2,89.3,24.2,7.9,63.7,0
FAC013,Chennai Electronics Plant 13,India,Chennai,Electronics,2022,2409,6788.2,3516.5,21450.3,18231.1,29.6,31086.9,32.7,2856.4,29.8,25,10.2,45.6,1
FAC013,Chennai Electronics Plant 13,India,Chennai,Electronics,2023,2473,8720.6,4836.9,55132.6,24096,44.5,21302.2,30,1335.2,76.4,35.1,10.1,23.6,1
FAC013,Chennai Electronics Plant 13,India,Chennai,Electronics,2024,2548,11485.1,3376.9,31205,35508.1,51.5,40141.6,40.2,1205,40.2,46.9,18.4,51.9,3
FAC013,Chennai Electronics Plant 13,India,Chennai,Electronics,2025,2580,6898.6,2136.1,28057.9,28296.4,73.4,32785.4,69.9,1780.2,82.3,47.1,12,52.4,0
FAC014,Pune Automotive Plant 14,India,Pune,Automotive,2022,840,2959.1,1403.9,17021.2,8092.8,33.3,6658.3,22.6,399.3,32.8,41.2,19.8,47.1,0
FAC014,Pune Automotive Plant 14,India,Pune,Automotive,2023,883,2922.7,2095.4,16289.9,8867.1,22.4,14086,24.5,434.8,38.1,26.6,19.6,39.8,0
FAC014,Pune Automotive Plant 14,India,Pune,Automotive,2024,911,2451.6,1805.2,14390.7,10232.2,39.2,8240.5,69.7,1137,61.3,21.5,18.3,48.4,1
FAC014,Pune Automotive Plant 14,India,Pune,Automotive,2025,913,3516.8,1312.5,15173.5,10968.6,56.4,9188.4,37.6,804.6,78.8,22.1,5.6,68.8,2
FAC015,Ahmedabad Chemicals Plant 15,India,Ahmedabad,Chemicals,2022,2253,8010.8,6575.1,65596.5,29168.4,24.2,38064.2,25.7,1825.2,48.1,34.6,14.7,30.5,0
FAC015,Ahmedabad Chemicals Plant 15,India,Ahmedabad,Chemicals,2023,2288,9638.5,7932.1,53185.1,32590.9,30.7,30887.8,44.7,2857.1,53.6,47.7,18.2,47.3,0
FAC015,Ahmedabad Chemicals Plant 15,India,Ahmedabad,Chemicals,2024,2313,4793.2,901.4,23419.6,16937.2,73.4,21220.1,66.1,457.9,43.2,44.1,20.5,29.4,1
FAC015,Ahmedabad Chemicals Plant 15,India,Ahmedabad,Chemicals,2025,2387,7823.4,2276.2,41720,21584.1,69.9,57801.1,45.2,1314,77.4,40.8,18.5,35.6,0
FAC016,Ahmedabad Chemicals Plant 16,India,Ahmedabad,Chemicals,2022,1082,3806.6,3155,21645,10620,16.2,22658.4,65,253,78.3,26.8,12,16.6,1
FAC016,Ahmedabad Chemicals Plant 16,India,Ahmedabad,Chemicals,2023,1165,3357.5,2989.7,18764.6,13773.3,28.1,24145.9,45.9,1004.6,44.4,37.1,12.9,48,3
FAC016,Ahmedabad Chemicals Plant 16,India,Ahmedabad,Chemicals,2024,1174,3823.8,1722.4,15883.8,15966.2,59.8,22111,54.1,794.1,49.3,43.4,8.2,43.3,0
FAC016,Ahmedabad Chemicals Plant 16,India,Ahmedabad,Chemicals,2025,1167,3001.9,1626.2,9510,10957,53.6,27581.7,45.8,221.1,85,41.3,20.1,75,1
FAC017,Ahmedabad Chemicals Plant 17,India,Ahmedabad,Chemicals,2022,1159,3671,2682.5,24708.4,14830.2,21.4,25956.9,53.4,394.1,31.5,36.8,6.6,45.5,0
FAC017,Ahmedabad Chemicals Plant 17,India,Ahmedabad,Chemicals,2023,1150,3851.2,3518,17974.2,14066.9,24.1,11289.3,47.9,1514.1,62.9,45.4,18.8,29.6,2
FAC017,Ahmedabad Chemicals Plant 17,India,Ahmedabad,Chemicals,2024,1187,7007,3322.8,32754,16779.2,41.9,10316.1,59.2,527,73.6,38.2,11.4,64.1,0
FAC017,Ahmedabad Chemicals Plant 17,India,Ahmedabad,Chemicals,2025,1160,4924.3,2527.7,27438.8,14737.2,36.7,23794.3,53.4,1325,88.9,21.3,8.2,35.1,2
FAC018,Ahmedabad Chemicals Plant 18,India,Ahmedabad,Chemicals,2022,1054,4527.6,2542,16201.3,12064.9,32,8535.2,19.9,1417.9,32.8,25,14.6,27.5,0
FAC018,Ahmedabad Chemicals Plant 18,India,Ahmedabad,Chemicals,2023,1136,2628.1,1349.7,8940.3,11013.4,53.4,19186,41.6,1469.2,32,29.1,12.6,60.8,3
FAC018,Ahmedabad Chemicals Plant 18,India,Ahmedabad,Chemicals,2024,1101,6672.5,2650.7,20057.7,15684.3,45.3,13941.4,68.6,1420.7,82,20.8,8.4,54.8,3
FAC018,Ahmedabad Chemicals Plant 18,India,Ahmedabad,Chemicals,2025,1117,3276.8,2160.3,11806.8,14155.8,47.9,24965.1,38.3,483.3,85.2,27.9,6.9,74.5,0
FAC019,Chennai Electronics Plant 19,India,Chennai,Electronics,2022,741,2254.7,920.1,6467.5,6172.8,19.5,16925.7,30.4,414.1,36.7,19.6,17.9,33.7,2
FAC019,Chennai Electronics Plant 19,India,Chennai,Electronics,2023,746,2581.2,1276.1,9851.1,7408.5,36.3,14456.8,56.9,927.5,70.9,27,15.8,19.4,4
FAC019,Chennai Electronics Plant 19,India,Chennai,Electronics,2024,751,2769.4,1316.7,17358.4,7324.4,33.1,10196.9,32.5,246.1,70.6,35.6,16.4,43.1,0
FAC019,Chennai Electronics Plant 19,India,Chennai,Electronics,2025,751,1684,823.2,10359.7,7491.3,65.7,15086.2,60.8,768.6,51.2,31.5,8.2,49.3,0
FAC020,Bengaluru Industrial Plant 20,India,Bengaluru,Industrial Equipment,2022,569,1629.8,694.2,10010.5,5551.6,40.6,4853.1,61.3,164.5,31.5,40.2,19,35,1
FAC020,Bengaluru Industrial Plant 20,India,Bengaluru,Industrial Equipment,2023,611,2006.6,1171,13831.5,6629.1,50.2,9515.8,66,146.8,47.8,27.4,7.2,40.8,0
FAC020,Bengaluru Industrial Plant 20,India,Bengaluru,Industrial Equipment,2024,612,2043.2,842.4,11272.6,4967.2,33.1,11363.1,61.5,715.3,90.5,42.6,14.8,54.9,0
FAC020,Bengaluru Industrial Plant 20,India,Bengaluru,Industrial Equipment,2025,597,1523.8,719.1,6454.1,3901.1,49.4,6442.7,35.7,566.6,43.6,40.2,20,38.1,0
FAC021,Bengaluru Industrial Plant 21,India,Bengaluru,Industrial Equipment,2022,1917,6607.7,4200.2,36952,17370.4,27.9,17027.1,20.7,698.1,66.4,38.2,10.4,39.8,1
FAC021,Bengaluru Industrial Plant 21,India,Bengaluru,Industrial Equipment,2023,1952,6183.2,3299.4,21594,18846.3,29.7,40267.3,50.5,1554.8,49.1,24.6,21.3,20.5,0
FAC021,Bengaluru Industrial Plant 21,India,Bengaluru,Industrial Equipment,2024,1961,6684.6,1807.4,27543.5,24543,63.9,30840.6,31.7,1574.9,48.1,34.8,15.7,41.9,0
FAC021,Bengaluru Industrial Plant 21,India,Bengaluru,Industrial Equipment,2025,1977,4266.5,1957.4,19127.4,19440.6,58.5,30065.4,55.6,1025.5,61.1,47,7.2,76.6,0
FAC022,Ahmedabad Chemicals Plant 22,India,Ahmedabad,Chemicals,2022,555,2532.2,1609.6,12381.6,7292.9,22.5,7405.6,35.7,316.2,36.3,33.3,7.8,32.9,3
FAC022,Ahmedabad Chemicals Plant 22,India,Ahmedabad,Chemicals,2023,554,1830.5,391.7,5015.5,5065.7,63.1,6796.6,30.3,198.8,77.1,20.3,20.7,46.3,1
FAC022,Ahmedabad Chemicals Plant 22,India,Ahmedabad,Chemicals,2024,593,3183.6,1101.1,15374.6,7385.8,49.1,11602.4,64,541.9,43.6,20,12.1,39.6,0
FAC022,Ahmedabad Chemicals Plant 22,India,Ahmedabad,Chemicals,2025,539,1555.8,558.6,6177.9,4932.2,39.6,6944.5,55.8,713.4,44.7,35.8,10.7,60.1,3
FAC023,Pune Automotive Plant 23,India,Pune,Automotive,2022,2055,7588.9,3711,24347.7,23796.7,25.8,19007.4,64.8,1195.6,72.9,33.1,8.8,21.1,0
FAC023,Pune Automotive Plant 23,India,Pune,Automotive,2023,2078,6375.9,4190.7,31367.4,21912.4,47.4,46826.5,54.6,501.4,69.1,28,10.8,43.1,0
FAC023,Pune Automotive Plant 23,India,Pune,Automotive,2024,2094,10864.2,3712.3,41301.1,25467.7,58.9,39237.9,32.2,1234,90.2,39,11.3,52.8,2
FAC023,Pune Automotive Plant 23,India,Pune,Automotive,2025,2142,6542.9,1549.4,30403.4,23192,67.5,55590.8,69.9,2672.3,44.9,38.1,12.6,34.8,0
FAC024,Chennai Electronics Plant 24,India,Chennai,Electronics,2022,1601,3002.4,1353.5,17294.2,12576.2,55,27620.9,46.1,1671.8,60.3,37.9,20,37.8,1
FAC024,Chennai Electronics Plant 24,India,Chennai,Electronics,2023,1589,4752.2,1761.7,15723.6,12099,57.4,25211,41.7,1543.5,44.7,31.3,10.1,51.7,0
FAC024,Chennai Electronics Plant 24,India,Chennai,Electronics,2024,1670,5448.7,1320.2,16821,13756.2,73.4,34452.9,51.1,1161.5,78.9,41.3,13,44.8,0
FAC024,Chennai Electronics Plant 24,India,Chennai,Electronics,2025,1658,5566.6,3738.9,38946.2,21206.2,42.8,30142.3,34.1,1939.4,84.3,26.6,16.7,46.3,2
FAC025,Chennai Electronics Plant 25,India,Chennai,Electronics,2022,1942,8483.2,5320.9,28528.6,27121.9,21.5,16030.2,44.1,885.3,91.6,29.2,6.5,51.9,2
FAC025,Chennai Electronics Plant 25,India,Chennai,Electronics,2023,2012,6948.7,6529.1,50409.4,25572.9,26.2,20015.6,55.9,1418.2,30.3,20.4,9.6,55.6,1
FAC025,Chennai Electronics Plant 25,India,Chennai,Electronics,2024,2086,6000.7,3539.9,20220.1,22059.3,33.2,32359.2,60.9,1491.1,41.3,45.2,14.5,26.7,0
FAC025,Chennai Electronics Plant 25,India,Chennai,Electronics,2025,2079,5049.4,3137.9,28055.1,25197.9,50.3,22679.4,56.7,1647.6,58.8,46.6,13.2,69.4,0
FAC026,Jurong Electronics Plant 26,Singapore,Jurong,Electronics,2022,1799,2340.4,1876.9,12199.5,7978.7,28.6,10239.5,30.5,1137.9,31.9,35.5,18.1,16,0
FAC026,Jurong Electronics Plant 26,Singapore,Jurong,Electronics,2023,1817,6163.9,3072.4,34529.7,15613.4,27.9,23873.4,61,307.5,78.1,31.7,10.2,20,0
FAC026,Jurong Electronics Plant 26,Singapore,Jurong,Electronics,2024,1815,3210.1,2110.3,16937.5,10716.2,42.6,9589.4,54.5,622.8,84.1,19.4,15.5,38.3,1
FAC026,Jurong Electronics Plant 26,Singapore,Jurong,Electronics,2025,1900,7247.2,1214.9,37523.6,17106.1,72.4,21564.8,49.9,1597.8,67,42,16.1,37.6,0
FAC027,Jurong Electronics Plant 27,Singapore,Jurong,Electronics,2022,2411,5225.8,2920.9,28566.8,14308.2,15.4,25134,53.9,950.4,27.8,44.1,11.6,54.9,0
FAC027,Jurong Electronics Plant 27,Singapore,Jurong,Electronics,2023,2429,3253.2,1952.3,19252.7,11186.1,48.7,42208.3,28.9,1442.6,78.4,19,6.6,53,0
FAC027,Jurong Electronics Plant 27,Singapore,Jurong,Electronics,2024,2519,5600.3,4472,29485.8,23495,29.5,26852.5,29.4,572.8,55.9,27.4,9.5,69.2,0
FAC027,Jurong Electronics Plant 27,Singapore,Jurong,Electronics,2025,2541,5964.1,1831.9,20665,17519.8,55,27165.3,69.9,870.9,87.7,32.7,6.5,72.4,0
FAC028,Woodlands Medical Plant 28,Singapore,Woodlands,Medical Devices,2022,1974,7561.9,2463.3,37833.6,16930.5,53.6,23806.4,33.1,698.7,35.6,39.3,17.2,17.8,0
FAC028,Woodlands Medical Plant 28,Singapore,Woodlands,Medical Devices,2023,2031,2314.6,2367,9670.8,9861.2,29,24601.7,39.7,1516.9,64.2,36.4,6.9,31.9,4
FAC028,Woodlands Medical Plant 28,Singapore,Woodlands,Medical Devices,2024,2104,6010.2,1032.5,31205.8,14809.5,64.2,27938.7,45.8,1368.6,54.6,44.3,17.5,54.8,0
FAC028,Woodlands Medical Plant 28,Singapore,Woodlands,Medical Devices,2025,2099,2933.9,545.2,8289.1,13719.4,80.6,14637.3,42.9,1413.2,58,46.2,18.8,72.1,0
FAC029,Woodlands Medical Plant 29,Singapore,Woodlands,Medical Devices,2022,2431,3951.6,2493.8,15608.1,11853.4,25,41884.2,26,1540.8,73.3,36.2,19.5,35.4,2
FAC029,Woodlands Medical Plant 29,Singapore,Woodlands,Medical Devices,2023,2447,4458.1,986.2,13757.9,11350.7,62.7,30225.9,51.7,351.4,85.1,34.4,15.8,31.6,0
FAC029,Woodlands Medical Plant 29,Singapore,Woodlands,Medical Devices,2024,2544,3175.4,2714.8,18911.2,14770.8,31.4,19062.5,52.7,925.5,75.9,40,18.8,69.9,0
FAC029,Woodlands Medical Plant 29,Singapore,Woodlands,Medical Devices,2025,2589,4707,2173.3,21494,18073.5,41.2,17241.7,32,2219.8,84.9,30.5,19.9,74.6,1
FAC030,Woodlands Medical Plant 30,Singapore,Woodlands,Medical Devices,2022,1444,3949.2,2238.6,17148.6,12015.3,33.4,7373,67.2,742.6,89.8,24.5,11.6,12.3,1
FAC030,Woodlands Medical Plant 30,Singapore,Woodlands,Medical Devices,2023,1509,1966.1,1426.5,9028.3,8666.2,20.4,14529.1,41.4,234.3,33.2,34.9,11.3,31,0
FAC030,Woodlands Medical Plant 30,Singapore,Woodlands,Medical Devices,2024,1535,5717.5,2379.8,18599.7,12783.1,41.1,27125.1,43.3,1135.9,54.3,46.2,17.1,35,0
FAC030,Woodlands Medical Plant 30,Singapore,Woodlands,Medical Devices,2025,1571,2626,1468.7,13505.7,6939.7,37.9,10629.4,65.7,359.8,88.4,27.6,10.8,61.7,1
FAC031,Woodlands Medical Plant 31,Singapore,Woodlands,Medical Devices,2022,1581,5171.8,2141.9,29542.8,13711.6,34.9,15276.1,53,1398.1,64.1,41.9,17.6,41,0
FAC031,Woodlands Medical Plant 31,Singapore,Woodlands,Medical Devices,2023,1608,4013.4,1352.8,13785,9059.3,49.5,8808.4,45.1,850.5,74.7,41.2,11.6,55,0
FAC031,Woodlands Medical Plant 31,Singapore,Woodlands,Medical Devices,2024,1652,3152.3,2496.6,13436.4,15397.1,33.2,22986.9,44.1,1196.8,87.5,44.2,16.8,28.8,0
FAC031,Woodlands Medical Plant 31,Singapore,Woodlands,Medical Devices,2025,1636,3779.6,456,18601.5,11826.3,84.9,17779.3,51.3,893.4,75.1,44,15.4,70.2,0
FAC032,Tuas Chemicals Plant 32,Singapore,Tuas,Chemicals,2022,958,2380.2,1547.7,15428.5,5467,24.8,13512.3,53.9,480.4,57.1,34.8,21,42.5,0
FAC032,Tuas Chemicals Plant 32,Singapore,Tuas,Chemicals,2023,1019,3561.7,1730,23212.2,8003,37.1,15713.9,35.9,350.9,74.3,28.4,12.6,29.5,1
FAC032,Tuas Chemicals Plant 32,Singapore,Tuas,Chemicals,2024,990,2923,1192.8,9355.5,8584.2,40.7,14434,36.5,158,86.6,24.8,8.7,30.5,0
FAC032,Tuas Chemicals Plant 32,Singapore,Tuas,Chemicals,2025,1045,997.7,376.7,5941.2,4956.4,73.8,10628.9,67.4,841.4,64.8,24,19.9,48.5,0
FAC033,Jurong Electronics Plant 33,Singapore,Jurong,Electronics,2022,1159,1986.7,1777.1,11459.7,9490.9,48.6,18377.5,66.6,171.9,81,41.6,9,43.7,3
FAC033,Jurong Electronics Plant 33,Singapore,Jurong,Electronics,2023,1150,3513.8,1647.7,23007.3,10274.6,20.4,9839.6,69.5,625.3,60.6,46.2,19.1,39.1,0
FAC033,Jurong Electronics Plant 33,Singapore,Jurong,Electronics,2024,1150,2492.3,837.8,6777.5,6883.5,62.4,10637.4,39,742.9,46,36.3,15.2,44.2,0
FAC033,Jurong Electronics Plant 33,Singapore,Jurong,Electronics,2025,1199,1378.1,363.5,4892.2,5597.4,68.8,9681,40.4,364.1,79.2,46.6,9.3,66.5,0
FAC034,Woodlands Medical Plant 34,Singapore,Woodlands,Medical Devices,2022,1642,2060.7,1611.9,11959.1,7447.2,17.1,27282.8,54.6,595.3,32.9,45.5,10.7,37.7,0
FAC034,Woodlands Medical Plant 34,Singapore,Woodlands,Medical Devices,2023,1662,5040.9,1708.4,25342.6,11272,40.5,28002.9,58.4,1239.1,81.2,40.9,16.4,44.8,2
FAC034,Woodlands Medical Plant 34,Singapore,Woodlands,Medical Devices,2024,1745,2533,1314.4,8288.8,11538.7,61.1,20990.6,48.2,988.9,43.5,27.8,13.3,31.2,0
FAC034,Woodlands Medical Plant 34,Singapore,Woodlands,Medical Devices,2025,1785,3801.5,466.7,9944.3,12208.8,80,18356.2,52.6,992.2,75,27.2,4.8,45.5,0
FAC035,Jurong Electronics Plant 35,Singapore,Jurong,Electronics,2022,444,965.9,320.3,5447.8,2880.7,42.1,7910.8,42.5,152.7,37.1,22.1,16.3,42.8,4
FAC035,Jurong Electronics Plant 35,Singapore,Jurong,Electronics,2023,495,1975.5,1074,8962.8,4732.9,37.2,6837,53.8,267.6,70.5,28.4,8.4,42.2,1
FAC035,Jurong Electronics Plant 35,Singapore,Jurong,Electronics,2024,486,1881.7,421.1,8745.4,4232.1,63.5,5053.7,42.7,145.4,61.3,22.7,8,65.4,1
FAC035,Jurong Electronics Plant 35,Singapore,Jurong,Electronics,2025,471,1580.5,626.5,4500.3,4037,56.5,3542.1,34,68.9,71.1,39.1,5.3,67.3,0
FAC036,Jurong Electronics Plant 36,Singapore,Jurong,Electronics,2022,2377,4622.3,4066.4,22463.8,19666.5,45.4,40162.8,48,1355.9,76.8,42.6,9.8,49.4,4
FAC036,Jurong Electronics Plant 36,Singapore,Jurong,Electronics,2023,2463,2859.3,3266,25721.9,13284.5,33.5,41459.2,52,1116.3,60.7,47.2,20.6,48.2,2
FAC036,Jurong Electronics Plant 36,Singapore,Jurong,Electronics,2024,2485,5439.2,2264.1,25766.2,19780.8,47.2,19832.2,35.9,1960.4,43.2,31.9,5.9,44.6,0
FAC036,Jurong Electronics Plant 36,Singapore,Jurong,Electronics,2025,2560,3161.9,2031.6,22361,12605.7,47.9,40914.3,33.7,1754.1,49.9,26.1,15.3,61.1,2
FAC037,Jurong Electronics Plant 37,Singapore,Jurong,Electronics,2022,2456,4722.5,3133.4,16013,16673.1,49.4,42170.8,68,519.5,92,32.4,9.9,37.2,0
FAC037,Jurong Electronics Plant 37,Singapore,Jurong,Electronics,2023,2508,5316.1,2329,22156.6,18010.5,54.9,20697.6,46.6,1273.8,36.1,47.4,13,55.8,3
